Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,38081,108132,52795,3868,3027,47804,204210,4008
2015-01-01,22095,1132026,39033,43542,15586,61166,1699581,20268
2015-01-01,29121,337460,38651,15279,5313,36896,590550,8497
2015-01-01,40151,224513,45844,9293,4155,41060,426026,6615
2015-01-01,56001,936805,39954,37956,18781,43343,1516477,23625
2015-01-01,96000,1185232160,44750,40320452,17616525,56554,1804349247,23340442
2015-01-01,26043,590342,42659,25655,14729,49383,1094429,17140
2015-01-01,48163,317123,28289,19269,7807,52748,545105,9770
2015-01-01,05095,96760,30169,7453,2482,31309,224852,3461
2015-01-01,30045,65215,56809,1931,554,50813,109699,1208
2015-01-01,35003,34865,31137,3480,772,23702,108357,1628
2015-01-01,48073,953261,33208,51594,15661,40328,1713317,21812
2015-01-01,48425,232319,41887,8620,4151,59250,361065,5800
2015-01-01,53013,104679,48470,3961,1397,52696,191991,2144
2015-01-01,40061,246131,34891,12700,3911,38554,443117,6080
2015-01-01,40111,675334,32350,39079,10664,35714,1264196,15442
2015-01-01,19183,743171,50892,22147,9199,46444,1127105,13682
2015-01-01,53037,921062,38562,43092,15254,42867,1661708,21013
2015-01-01,17061,227396,31730,13344,2704,30831,423409,4435
2015-01-01,17075,607559,38922,28522,8830,36896,1110130,13230
2015-01-01,36049,707581,40629,26830,6827,43572,1090077,9949
2015-01-01,54019,714216,31852,44706,11806,41349,1423976,14544
2015-01-01,42133,12945178,44790,441800,185357,50658,19788017,231739
2015-01-01,19075,356042,48318,12404,4301,41705,599336,6410
2015-01-01,17155,215838,54849,5728,1689,74221,314176,2536
2015-01-01,55047,444607,44047,18712,6852,42102,824204,10041
2015-01-01,42011,11832796,44935,415193,181085,54211,18656852,222722
